"Tendências","Volume de pesquisa","Iniciado","Finalizada","Detalhamento da tendência","Acesse a página ""Explorar"""
"curaçao x aruba","5 mil+","6 de junho de 2026 às 21:20:00 UTC-3","7 de junho de 2026 às 00:40:00 UTC-3","curaçao x aruba,curacao x aruba,curacao","./explore?q=cura%C3%A7ao%20x%20aruba&geo=BR"
"suíça x austrália","5 mil+","6 de junho de 2026 às 15:10:00 UTC-3","6 de junho de 2026 às 19:30:00 UTC-3","suíça x austrália","./explore?q=su%C3%AD%C3%A7a%20x%20austr%C3%A1lia&geo=BR"
"agua crystal","20 mil+","3 de junho de 2026 às 08:30:00 UTC-3","3 de junho de 2026 às 22:00:00 UTC-3","agua crystal,agua crystal anvisa,água mineral","./explore?q=agua%20crystal&geo=BR"
"uerj","2 mil+","7 de junho de 2026 às 06:40:00 UTC-3","7 de junho de 2026 às 16:20:00 UTC-3","uerj,uerj vestibular","./explore?q=uerj&geo=BR"
"maratona do rio 2026","2 mil+","7 de junho de 2026 às 05:50:00 UTC-3","7 de junho de 2026 às 10:40:00 UTC-3","maratona do rio 2026","./explore?q=maratona%20do%20rio%202026&geo=BR"
"portugal vs chile","5 mil+","6 de junho de 2026 às 14:00:00 UTC-3","6 de junho de 2026 às 18:40:00 UTC-3","portugal vs chile","./explore?q=portugal%20vs%20chile&geo=BR"
"ana paula renault","5 mil+","6 de junho de 2026 às 14:50:00 UTC-3","6 de junho de 2026 às 19:20:00 UTC-3","ana paula renault","./explore?q=ana%20paula%20renault&geo=BR"
"placar jogo do brasil","5 mil+","6 de junho de 2026 às 19:30:00 UTC-3","6 de junho de 2026 às 22:40:00 UTC-3","placar jogo do brasil,jogo do brasil amanhã","./explore?q=placar%20jogo%20do%20brasil&geo=BR"
"datena","10 mil+","3 de junho de 2026 às 15:50:00 UTC-3","4 de junho de 2026 às 16:10:00 UTC-3","datena","./explore?q=datena&geo=BR"
"edmen shahbazyan","2 mil+","6 de junho de 2026 às 22:40:00 UTC-3","7 de junho de 2026 às 10:10:00 UTC-3","edmen shahbazyan,brendan allen","./explore?q=edmen%20shahbazyan&geo=BR"
"masterchef brasil","10 mil+","2 de junho de 2026 às 05:30:00 UTC-3","3 de junho de 2026 às 10:20:00 UTC-3","masterchef brasil,band ao vivo","./explore?q=masterchef%20brasil&geo=BR"
"quina 7044","2 mil+","6 de junho de 2026 às 21:50:00 UTC-3","7 de junho de 2026 às 11:10:00 UTC-3","quina 7044","./explore?q=quina%207044&geo=BR"
"charles leclerc","2 mil+","7 de junho de 2026 às 10:20:00 UTC-3","7 de junho de 2026 às 13:10:00 UTC-3","charles leclerc","./explore?q=charles%20leclerc&geo=BR"
"diana shnaider","20 mil+","3 de junho de 2026 às 08:20:00 UTC-3","3 de junho de 2026 às 19:00:00 UTC-3","diana shnaider,aryna sabalenka,sabalenka","./explore?q=diana%20shnaider&geo=BR"
"maja chwalińska","10 mil+","4 de junho de 2026 às 11:50:00 UTC-3","4 de junho de 2026 às 19:00:00 UTC-3","maja chwalińska","./explore?q=maja%20chwali%C5%84ska&geo=BR"
"princesa beatrice","2 mil+","7 de junho de 2026 às 06:30:00 UTC-3","7 de junho de 2026 às 11:10:00 UTC-3","princesa beatrice","./explore?q=princesa%20beatrice&geo=BR"
"luxemburgo x itália","20 mil+","3 de junho de 2026 às 15:00:00 UTC-3","3 de junho de 2026 às 21:50:00 UTC-3","luxemburgo x itália,italia x,italia seleção","./explore?q=luxemburgo%20x%20it%C3%A1lia&geo=BR"
"peter phillips","2 mil+","6 de junho de 2026 às 12:40:00 UTC-3","6 de junho de 2026 às 19:00:00 UTC-3","peter phillips","./explore?q=peter%20phillips&geo=BR"
"indenização","10 mil+","3 de junho de 2026 às 14:10:00 UTC-3","4 de junho de 2026 às 00:10:00 UTC-3","indenização","./explore?q=indeniza%C3%A7%C3%A3o&geo=BR"
"ronaldinho gaúcho","1 mil+","7 de junho de 2026 às 19:20:00 UTC-3","8 de junho de 2026 às 00:30:00 UTC-3","ronaldinho gaúcho","./explore?q=ronaldinho%20ga%C3%BAcho&geo=BR"
"formula 2","2 mil+","7 de junho de 2026 às 05:40:00 UTC-3","7 de junho de 2026 às 10:30:00 UTC-3","formula 2,emerson fittipaldi","./explore?q=formula%202&geo=BR"
"brahim díaz","2 mil+","7 de junho de 2026 às 16:10:00 UTC-3","7 de junho de 2026 às 18:10:00 UTC-3","brahim díaz,odegaard","./explore?q=brahim%20d%C3%ADaz&geo=BR"
"tabela da copa do mundo 2026","5 mil+","6 de junho de 2026 às 19:10:00 UTC-3","6 de junho de 2026 às 22:20:00 UTC-3","tabela da copa do mundo 2026,tabela de jogos do brasil na copa do mundo 2026","./explore?q=tabela%20da%20copa%20do%20mundo%202026&geo=BR"
"leila pereira","10 mil+","2 de junho de 2026 às 07:30:00 UTC-3","3 de junho de 2026 às 08:40:00 UTC-3","leila pereira","./explore?q=leila%20pereira&geo=BR"
"saneante","5 mil+","4 de junho de 2026 às 07:10:00 UTC-3","5 de junho de 2026 às 10:40:00 UTC-3","saneante","./explore?q=saneante&geo=BR"
"camisa do brasil","5 mil+","6 de junho de 2026 às 18:50:00 UTC-3","6 de junho de 2026 às 21:50:00 UTC-3","camisa do brasil","./explore?q=camisa%20do%20brasil&geo=BR"
"enem inscrição","10 mil+","5 de junho de 2026 às 14:30:00 UTC-3","5 de junho de 2026 às 23:20:00 UTC-3","enem inscrição","./explore?q=enem%20inscri%C3%A7%C3%A3o&geo=BR"
"brazil","2 mil+","6 de junho de 2026 às 18:10:00 UTC-3","6 de junho de 2026 às 22:10:00 UTC-3","brazil","./explore?q=brazil&geo=BR"
"temperatura campinas","200+","8 de junho de 2026 às 05:40:00 UTC-3","8 de junho de 2026 às 06:50:00 UTC-3","temperatura campinas","./explore?q=temperatura%20campinas&geo=BR"
"zico","10 mil+","6 de junho de 2026 às 19:10:00 UTC-3","6 de junho de 2026 às 21:30:00 UTC-3","zico,trezeguet,zico egito,trezeguet egito","./explore?q=zico&geo=BR"
"valéria monteiro","1 mil+","7 de junho de 2026 às 17:20:00 UTC-3","7 de junho de 2026 às 19:30:00 UTC-3","valéria monteiro","./explore?q=val%C3%A9ria%20monteiro&geo=BR"
"operador nacional do sistema elétrico","1 mil+","7 de junho de 2026 às 05:20:00 UTC-3","7 de junho de 2026 às 10:30:00 UTC-3","operador nacional do sistema elétrico","./explore?q=operador%20nacional%20do%20sistema%20el%C3%A9trico&geo=BR"
"entregador","2 mil+","6 de junho de 2026 às 14:40:00 UTC-3","6 de junho de 2026 às 19:40:00 UTC-3","entregador","./explore?q=entregador&geo=BR"
"marquinhos","5 mil+","6 de junho de 2026 às 19:10:00 UTC-3","6 de junho de 2026 às 21:30:00 UTC-3","marquinhos","./explore?q=marquinhos&geo=BR"
"colapinto","2 mil+","7 de junho de 2026 às 10:40:00 UTC-3","7 de junho de 2026 às 12:50:00 UTC-3","colapinto,franco colapinto,pierre gasly","./explore?q=colapinto&geo=BR"
"beatriz haddad maia","5 mil+","6 de junho de 2026 às 08:50:00 UTC-3","6 de junho de 2026 às 12:10:00 UTC-3","beatriz haddad maia","./explore?q=beatriz%20haddad%20maia&geo=BR"
"parana clube","5 mil+","6 de junho de 2026 às 17:10:00 UTC-3","6 de junho de 2026 às 20:30:00 UTC-3","parana clube","./explore?q=parana%20clube&geo=BR"
"jogos da copa","5 mil+","6 de junho de 2026 às 18:50:00 UTC-3","6 de junho de 2026 às 22:00:00 UTC-3","jogos da copa,jogos copa","./explore?q=jogos%20da%20copa&geo=BR"
"prisão domiciliar","2 mil+","7 de junho de 2026 às 08:30:00 UTC-3","7 de junho de 2026 às 11:30:00 UTC-3","prisão domiciliar","./explore?q=pris%C3%A3o%20domiciliar&geo=BR"
"cariúcha","1 mil+","7 de junho de 2026 às 05:50:00 UTC-3","7 de junho de 2026 às 10:30:00 UTC-3","cariúcha","./explore?q=cari%C3%BAcha&geo=BR"
"florianópolis","2 mil+","6 de junho de 2026 às 16:50:00 UTC-3","7 de junho de 2026 às 08:20:00 UTC-3","florianópolis","./explore?q=florian%C3%B3polis&geo=BR"
"méxico","5 mil+","5 de junho de 2026 às 17:00:00 UTC-3","5 de junho de 2026 às 22:10:00 UTC-3","méxico","./explore?q=m%C3%A9xico&geo=BR"
"ticketmaster","20 mil+","2 de junho de 2026 às 08:40:00 UTC-3","2 de junho de 2026 às 15:00:00 UTC-3","ticketmaster,rock in rio,ticketmaster rock in rio,ticket master","./explore?q=ticketmaster&geo=BR"
"marrocos x madagáscar","20 mil+","2 de junho de 2026 às 13:40:00 UTC-3","2 de junho de 2026 às 21:10:00 UTC-3","marrocos x madagáscar,marrocos x,marrocos x madagascar,haiti nova zelândia 02/06/2026","./explore?q=marrocos%20x%20madag%C3%A1scar&geo=BR"
"coreia do sul x el salvador","5 mil+","3 de junho de 2026 às 21:20:00 UTC-3","4 de junho de 2026 às 10:00:00 UTC-3","coreia do sul x el salvador","./explore?q=coreia%20do%20sul%20x%20el%20salvador&geo=BR"
"operacoes especiais","500+","8 de junho de 2026 às 01:10:00 UTC-3","8 de junho de 2026 às 02:40:00 UTC-3","operacoes especiais,operações especiais","./explore?q=operacoes%20especiais&geo=BR"
"michael jackson","10 mil+","2 de junho de 2026 às 17:40:00 UTC-3","3 de junho de 2026 às 08:00:00 UTC-3","michael jackson","./explore?q=michael%20jackson&geo=BR"
"superior tribunal militar","2 mil+","6 de junho de 2026 às 11:20:00 UTC-3","6 de junho de 2026 às 16:30:00 UTC-3","superior tribunal militar,francisco joseli parente camelo","./explore?q=superior%20tribunal%20militar&geo=BR"
"cleitinho","2 mil+","5 de junho de 2026 às 21:00:00 UTC-3","6 de junho de 2026 às 11:20:00 UTC-3","cleitinho","./explore?q=cleitinho&geo=BR"
"barracas central x huracán","10 mil+","2 de junho de 2026 às 20:50:00 UTC-3","3 de junho de 2026 às 08:30:00 UTC-3","barracas central x huracán,barracas central huracán 02/06/2026","./explore?q=barracas%20central%20x%20hurac%C3%A1n&geo=BR"
"esportes","10 mil+","6 de junho de 2026 às 19:00:00 UTC-3","6 de junho de 2026 às 21:40:00 UTC-3","esportes","./explore?q=esportes&geo=BR"
"erling haaland","1 mil+","7 de junho de 2026 às 18:00:00 UTC-3","7 de junho de 2026 às 19:30:00 UTC-3","erling haaland","./explore?q=erling%20haaland&geo=BR"
"sophie charlotte","5 mil+","5 de junho de 2026 às 05:40:00 UTC-3","5 de junho de 2026 às 14:10:00 UTC-3","sophie charlotte","./explore?q=sophie%20charlotte&geo=BR"
"epic games","10 mil+","4 de junho de 2026 às 14:50:00 UTC-3","5 de junho de 2026 às 07:30:00 UTC-3","epic games","./explore?q=epic%20games&geo=BR"
"argentina e honduras","5 mil+","6 de junho de 2026 às 21:00:00 UTC-3","7 de junho de 2026 às 00:00:00 UTC-3","argentina e honduras,lautaro martínez,amistoso argentina,argentina amistoso","./explore?q=argentina%20e%20honduras&geo=BR"
"grupos da copa do mundo 2026","5 mil+","6 de junho de 2026 às 19:10:00 UTC-3","6 de junho de 2026 às 22:00:00 UTC-3","grupos da copa do mundo 2026,quando comeca a copa","./explore?q=grupos%20da%20copa%20do%20mundo%202026&geo=BR"
"bruno fernandes de souza","5 mil+","5 de junho de 2026 às 09:30:00 UTC-3","5 de junho de 2026 às 16:50:00 UTC-3","bruno fernandes de souza","./explore?q=bruno%20fernandes%20de%20souza&geo=BR"
"camisa azul brasil","2 mil+","6 de junho de 2026 às 18:50:00 UTC-3","6 de junho de 2026 às 21:50:00 UTC-3","camisa azul brasil","./explore?q=camisa%20azul%20brasil&geo=BR"
"estação espacial internacional","5 mil+","5 de junho de 2026 às 14:20:00 UTC-3","5 de junho de 2026 às 20:10:00 UTC-3","estação espacial internacional,estação espacial","./explore?q=esta%C3%A7%C3%A3o%20espacial%20internacional&geo=BR"
"grand theft auto vi","1 mil+","7 de junho de 2026 às 07:40:00 UTC-3","7 de junho de 2026 às 11:00:00 UTC-3","grand theft auto vi","./explore?q=grand%20theft%20auto%20vi&geo=BR"
"portugal vs","2 mil+","6 de junho de 2026 às 14:20:00 UTC-3","6 de junho de 2026 às 18:10:00 UTC-3","portugal vs,iván román","./explore?q=portugal%20vs&geo=BR"
"ederson manchester united","1 mil+","7 de junho de 2026 às 13:10:00 UTC-3","7 de junho de 2026 às 15:00:00 UTC-3","ederson manchester united","./explore?q=ederson%20manchester%20united&geo=BR"
"curaçao","2 mil+","6 de junho de 2026 às 21:10:00 UTC-3","7 de junho de 2026 às 00:10:00 UTC-3","curaçao","./explore?q=cura%C3%A7ao&geo=BR"
"córrego do ouro","10 mil+","2 de junho de 2026 às 13:50:00 UTC-3","2 de junho de 2026 às 22:00:00 UTC-3","córrego do ouro","./explore?q=c%C3%B3rrego%20do%20ouro&geo=BR"
"ipsos","5 mil+","4 de junho de 2026 às 13:20:00 UTC-3","5 de junho de 2026 às 06:40:00 UTC-3","ipsos","./explore?q=ipsos&geo=BR"
"o'higgins palestino 07/06/2026","1 mil+","7 de junho de 2026 às 19:20:00 UTC-3","7 de junho de 2026 às 20:40:00 UTC-3","o'higgins palestino 07/06/2026","./explore?q=o%27higgins%20palestino%2007%2F06%2F2026&geo=BR"
"xuxa","2 mil+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 17:50:00 UTC-3","xuxa","./explore?q=xuxa&geo=BR"
"escocia","2 mil+","6 de junho de 2026 às 17:40:00 UTC-3","6 de junho de 2026 às 21:50:00 UTC-3","escocia","./explore?q=escocia&geo=BR"
"programação globo","5 mil+","6 de junho de 2026 às 17:40:00 UTC-3","6 de junho de 2026 às 22:00:00 UTC-3","programação globo","./explore?q=programa%C3%A7%C3%A3o%20globo&geo=BR"
"angola x mauritânia","10 mil+","5 de junho de 2026 às 16:20:00 UTC-3","5 de junho de 2026 às 19:40:00 UTC-3","angola x mauritânia,angola,angola x","./explore?q=angola%20x%20maurit%C3%A2nia&geo=BR"
"jogo do fortaleza","5 mil+","6 de junho de 2026 às 16:30:00 UTC-3","6 de junho de 2026 às 18:40:00 UTC-3","jogo do fortaleza","./explore?q=jogo%20do%20fortaleza&geo=BR"
"jalen brunson","5 mil+","3 de junho de 2026 às 22:00:00 UTC-3","4 de junho de 2026 às 09:40:00 UTC-3","jalen brunson","./explore?q=jalen%20brunson&geo=BR"
"mulheres","2 mil+","5 de junho de 2026 às 23:00:00 UTC-3","6 de junho de 2026 às 10:50:00 UTC-3","mulheres","./explore?q=mulheres&geo=BR"
"temperatura","2 mil+","7 de junho de 2026 às 05:10:00 UTC-3","7 de junho de 2026 às 07:30:00 UTC-3","temperatura,fenômeno meteorológico","./explore?q=temperatura&geo=BR"
"polícia militar","10 mil+","3 de junho de 2026 às 06:10:00 UTC-3","3 de junho de 2026 às 19:00:00 UTC-3","polícia militar","./explore?q=pol%C3%ADcia%20militar&geo=BR"
"kosovo x andorra","1 mil+","7 de junho de 2026 às 15:00:00 UTC-3","7 de junho de 2026 às 16:40:00 UTC-3","kosovo x andorra","./explore?q=kosovo%20x%20andorra&geo=BR"
"nacional x juventud","2 mil+","6 de junho de 2026 às 17:50:00 UTC-3","6 de junho de 2026 às 21:00:00 UTC-3","nacional x juventud","./explore?q=nacional%20x%20juventud&geo=BR"
"traição","1 mil+","7 de junho de 2026 às 15:50:00 UTC-3","7 de junho de 2026 às 17:30:00 UTC-3","traição","./explore?q=trai%C3%A7%C3%A3o&geo=BR"
"previsão do tempo","100 mil+","2 de junho de 2026 às 05:20:00 UTC-3","2 de junho de 2026 às 07:40:00 UTC-3","previsão do tempo,frente fria,tempo","./explore?q=previs%C3%A3o%20do%20tempo&geo=BR"
"parnahyba x moto club","1 mil+","7 de junho de 2026 às 15:50:00 UTC-3","7 de junho de 2026 às 18:20:00 UTC-3","parnahyba x moto club","./explore?q=parnahyba%20x%20moto%20club&geo=BR"
"argentina jogo","2 mil+","6 de junho de 2026 às 21:00:00 UTC-3","7 de junho de 2026 às 00:00:00 UTC-3","argentina jogo","./explore?q=argentina%20jogo&geo=BR"
"sachê","2 mil+","6 de junho de 2026 às 07:00:00 UTC-3","6 de junho de 2026 às 16:00:00 UTC-3","sachê","./explore?q=sach%C3%AA&geo=BR"
"em 2019","1 mil+","7 de junho de 2026 às 18:10:00 UTC-3","7 de junho de 2026 às 19:20:00 UTC-3","em 2019","./explore?q=em%202019&geo=BR"
"canada fc","5 mil+","5 de junho de 2026 às 21:00:00 UTC-3","6 de junho de 2026 às 00:10:00 UTC-3","canada fc","./explore?q=canada%20fc&geo=BR"
"mexico","5 mil+","4 de junho de 2026 às 22:50:00 UTC-3","5 de junho de 2026 às 08:20:00 UTC-3","mexico,globo.com","./explore?q=mexico&geo=BR"
"mileide mihaile","1 mil+","7 de junho de 2026 às 22:30:00 UTC-3","7 de junho de 2026 às 23:30:00 UTC-3","mileide mihaile,mileide","./explore?q=mileide%20mihaile&geo=BR"
"lei","2 mil+","6 de junho de 2026 às 15:00:00 UTC-3","6 de junho de 2026 às 18:50:00 UTC-3","lei,carteira nacional de habilitação","./explore?q=lei&geo=BR"
"alexandre pato","500+","7 de junho de 2026 às 20:50:00 UTC-3","7 de junho de 2026 às 22:00:00 UTC-3","alexandre pato","./explore?q=alexandre%20pato&geo=BR"
"luiz henrique","2 mil+","6 de junho de 2026 às 20:10:00 UTC-3","6 de junho de 2026 às 22:10:00 UTC-3","luiz henrique","./explore?q=luiz%20henrique&geo=BR"
"fábio luís lula da silva","10 mil+","1 de junho de 2026 às 23:20:00 UTC-3","2 de junho de 2026 às 14:00:00 UTC-3","fábio luís lula da silva","./explore?q=f%C3%A1bio%20lu%C3%ADs%20lula%20da%20silva&geo=BR"
"letícia colin","2 mil+","6 de junho de 2026 às 05:00:00 UTC-3","6 de junho de 2026 às 11:00:00 UTC-3","letícia colin","./explore?q=let%C3%ADcia%20colin&geo=BR"
"suécia x grécia","10 mil+","4 de junho de 2026 às 13:10:00 UTC-3","4 de junho de 2026 às 17:50:00 UTC-3","suécia x grécia,suecia x grecia","./explore?q=su%C3%A9cia%20x%20gr%C3%A9cia&geo=BR"
"marcha para jesus 2026","10 mil+","4 de junho de 2026 às 07:40:00 UTC-3","4 de junho de 2026 às 14:20:00 UTC-3","marcha para jesus 2026,marcha para jesus,jorge messias","./explore?q=marcha%20para%20jesus%202026&geo=BR"
"harry e meghan","2 mil+","6 de junho de 2026 às 05:00:00 UTC-3","6 de junho de 2026 às 11:10:00 UTC-3","harry e meghan","./explore?q=harry%20e%20meghan&geo=BR"
"padre zezinho","5 mil+","4 de junho de 2026 às 07:30:00 UTC-3","4 de junho de 2026 às 16:50:00 UTC-3","padre zezinho","./explore?q=padre%20zezinho&geo=BR"
"danilo","2 mil+","6 de junho de 2026 às 19:20:00 UTC-3","6 de junho de 2026 às 21:50:00 UTC-3","danilo","./explore?q=danilo&geo=BR"
"romênia x gales","2 mil+","6 de junho de 2026 às 14:10:00 UTC-3","6 de junho de 2026 às 17:30:00 UTC-3","romênia x gales","./explore?q=rom%C3%AAnia%20x%20gales&geo=BR"
"toy story 5","1 mil+","7 de junho de 2026 às 23:00:00 UTC-3","8 de junho de 2026 às 00:00:00 UTC-3","toy story 5","./explore?q=toy%20story%205&geo=BR"
"oposição","1 mil+","7 de junho de 2026 às 06:50:00 UTC-3","7 de junho de 2026 às 10:30:00 UTC-3","oposição","./explore?q=oposi%C3%A7%C3%A3o&geo=BR"
"state of play","10 mil+","2 de junho de 2026 às 13:30:00 UTC-3","2 de junho de 2026 às 22:30:00 UTC-3","state of play,state of play 2026","./explore?q=state%20of%20play&geo=BR"
"dana white","1 mil+","7 de junho de 2026 às 07:00:00 UTC-3","7 de junho de 2026 às 10:30:00 UTC-3","dana white","./explore?q=dana%20white&geo=BR"
"hungria x finlândia","5 mil+","5 de junho de 2026 às 14:30:00 UTC-3","5 de junho de 2026 às 18:20:00 UTC-3","hungria x finlândia,hungria x","./explore?q=hungria%20x%20finl%C3%A2ndia&geo=BR"
"i knew it i knew you taylor swift","2 mil+","5 de junho de 2026 às 00:50:00 UTC-3","5 de junho de 2026 às 10:20:00 UTC-3","i knew it i knew you taylor swift,i knew it i knew you","./explore?q=i%20knew%20it%20i%20knew%20you%20taylor%20swift&geo=BR"
"quem fez o gol do brasil","2 mil+","6 de junho de 2026 às 19:20:00 UTC-3","6 de junho de 2026 às 21:30:00 UTC-3","quem fez o gol do brasil,quanto ficou o jogo do brasil","./explore?q=quem%20fez%20o%20gol%20do%20brasil&geo=BR"
"fogo","10 mil+","2 de junho de 2026 às 11:30:00 UTC-3","2 de junho de 2026 às 20:40:00 UTC-3","fogo","./explore?q=fogo&geo=BR"
"marrocos","10 mil+","2 de junho de 2026 às 13:50:00 UTC-3","2 de junho de 2026 às 21:00:00 UTC-3","marrocos","./explore?q=marrocos&geo=BR"
"leo pereira","5 mil+","6 de junho de 2026 às 20:20:00 UTC-3","6 de junho de 2026 às 22:00:00 UTC-3","leo pereira,léo pereira","./explore?q=leo%20pereira&geo=BR"
"supercarro","5 mil+","4 de junho de 2026 às 14:40:00 UTC-3","4 de junho de 2026 às 20:00:00 UTC-3","supercarro","./explore?q=supercarro&geo=BR"
"eliana","1 mil+","7 de junho de 2026 às 16:40:00 UTC-3","7 de junho de 2026 às 17:50:00 UTC-3","eliana,celso portiolli","./explore?q=eliana&geo=BR"
"cinema","5 mil+","4 de junho de 2026 às 10:50:00 UTC-3","4 de junho de 2026 às 18:40:00 UTC-3","cinema","./explore?q=cinema&geo=BR"
"reino unido","5 mil+","5 de junho de 2026 às 12:50:00 UTC-3","5 de junho de 2026 às 17:20:00 UTC-3","reino unido","./explore?q=reino%20unido&geo=BR"
"arnold schwarzenegger","5 mil+","2 de junho de 2026 às 18:00:00 UTC-3","3 de junho de 2026 às 14:10:00 UTC-3","arnold schwarzenegger","./explore?q=arnold%20schwarzenegger&geo=BR"
"rodovia anchieta","5 mil+","4 de junho de 2026 às 04:40:00 UTC-3","4 de junho de 2026 às 13:10:00 UTC-3","rodovia anchieta","./explore?q=rodovia%20anchieta&geo=BR"
"idoso","5 mil+","3 de junho de 2026 às 06:00:00 UTC-3","4 de junho de 2026 às 09:20:00 UTC-3","idoso","./explore?q=idoso&geo=BR"
"vini jr","2 mil+","6 de junho de 2026 às 19:20:00 UTC-3","6 de junho de 2026 às 21:30:00 UTC-3","vini jr","./explore?q=vini%20jr&geo=BR"
"sthefany brito","2 mil+","4 de junho de 2026 às 05:30:00 UTC-3","4 de junho de 2026 às 16:30:00 UTC-3","sthefany brito","./explore?q=sthefany%20brito&geo=BR"
"nba finals","5 mil+","3 de junho de 2026 às 20:10:00 UTC-3","4 de junho de 2026 às 08:10:00 UTC-3","nba finals","./explore?q=nba%20finals&geo=BR"
"alisson becker","2 mil+","6 de junho de 2026 às 18:50:00 UTC-3","6 de junho de 2026 às 21:30:00 UTC-3","alisson becker","./explore?q=alisson%20becker&geo=BR"
"resultado federal 06 06 26","500+","7 de junho de 2026 às 06:20:00 UTC-3","7 de junho de 2026 às 09:50:00 UTC-3","resultado federal 06 06 26","./explore?q=resultado%20federal%2006%2006%2026&geo=BR"
"cláudio castro","5 mil+","4 de junho de 2026 às 09:10:00 UTC-3","4 de junho de 2026 às 15:00:00 UTC-3","cláudio castro","./explore?q=cl%C3%A1udio%20castro&geo=BR"
"delação vorcaro","5 mil+","3 de junho de 2026 às 20:00:00 UTC-3","4 de junho de 2026 às 07:50:00 UTC-3","delação vorcaro,andré mendonça","./explore?q=dela%C3%A7%C3%A3o%20vorcaro&geo=BR"
"globo play","2 mil+","6 de junho de 2026 às 18:50:00 UTC-3","6 de junho de 2026 às 20:40:00 UTC-3","globo play,gabriela loran","./explore?q=globo%20play&geo=BR"
"starlink","500+","7 de junho de 2026 às 23:30:00 UTC-3","8 de junho de 2026 às 00:30:00 UTC-3","starlink","./explore?q=starlink&geo=BR"
"cbf","2 mil+","6 de junho de 2026 às 19:00:00 UTC-3","6 de junho de 2026 às 21:40:00 UTC-3","cbf","./explore?q=cbf&geo=BR"
"indy","1 mil+","7 de junho de 2026 às 16:10:00 UTC-3","7 de junho de 2026 às 17:30:00 UTC-3","indy","./explore?q=indy&geo=BR"
"ribanceira","500+","7 de junho de 2026 às 20:10:00 UTC-3","7 de junho de 2026 às 21:10:00 UTC-3","ribanceira","./explore?q=ribanceira&geo=BR"
"zverev","20 mil+","2 de junho de 2026 às 10:20:00 UTC-3","2 de junho de 2026 às 14:20:00 UTC-3","zverev,alexander zverev","./explore?q=zverev&geo=BR"
"venezuela","2 mil+","6 de junho de 2026 às 19:20:00 UTC-3","6 de junho de 2026 às 21:50:00 UTC-3","venezuela","./explore?q=venezuela&geo=BR"
"leclerc","1 mil+","7 de junho de 2026 às 11:20:00 UTC-3","7 de junho de 2026 às 12:50:00 UTC-3","leclerc","./explore?q=leclerc&geo=BR"
"circuito sertanejo 2026","500+","8 de junho de 2026 às 00:10:00 UTC-3","8 de junho de 2026 às 01:00:00 UTC-3","circuito sertanejo 2026,pedro leopoldo rodeio show","./explore?q=circuito%20sertanejo%202026&geo=BR"
"fabinho","2 mil+","6 de junho de 2026 às 20:20:00 UTC-3","6 de junho de 2026 às 21:50:00 UTC-3","fabinho","./explore?q=fabinho&geo=BR"
"ayrton senna","1 mil+","7 de junho de 2026 às 10:00:00 UTC-3","7 de junho de 2026 às 13:30:00 UTC-3","ayrton senna","./explore?q=ayrton%20senna&geo=BR"
"itália","5 mil+","4 de junho de 2026 às 08:20:00 UTC-3","4 de junho de 2026 às 13:40:00 UTC-3","itália","./explore?q=it%C3%A1lia&geo=BR"
"huachipato colo-colo 07/06/2026","2 mil+","7 de junho de 2026 às 16:30:00 UTC-3","7 de junho de 2026 às 17:40:00 UTC-3","huachipato colo-colo 07/06/2026,colo colo","./explore?q=huachipato%20colo-colo%2007%2F06%2F2026&geo=BR"
"turquia fc","2 mil+","6 de junho de 2026 às 19:30:00 UTC-3","6 de junho de 2026 às 22:00:00 UTC-3","turquia fc","./explore?q=turquia%20fc&geo=BR"
"catherine, princesa de gales","5 mil+","3 de junho de 2026 às 14:30:00 UTC-3","3 de junho de 2026 às 21:10:00 UTC-3","catherine, princesa de gales","./explore?q=catherine%2C%20princesa%20de%20gales&geo=BR"
"canada fc","5 mil+","1 de junho de 2026 às 21:20:00 UTC-3","2 de junho de 2026 às 08:50:00 UTC-3","canada fc","./explore?q=canada%20fc&geo=BR"
"trem x águia de marabá","2 mil+","6 de junho de 2026 às 16:00:00 UTC-3","6 de junho de 2026 às 18:50:00 UTC-3","trem x águia de marabá","./explore?q=trem%20x%20%C3%A1guia%20de%20marab%C3%A1&geo=BR"
"baleia rossi","1 mil+","6 de junho de 2026 às 05:20:00 UTC-3","6 de junho de 2026 às 10:10:00 UTC-3","baleia rossi","./explore?q=baleia%20rossi&geo=BR"
"circuito sertanejo","200+","8 de junho de 2026 às 00:10:00 UTC-3","8 de junho de 2026 às 01:00:00 UTC-3","circuito sertanejo","./explore?q=circuito%20sertanejo&geo=BR"
"aramco","1 mil+","7 de junho de 2026 às 10:10:00 UTC-3","7 de junho de 2026 às 11:50:00 UTC-3","aramco","./explore?q=aramco&geo=BR"
"classificações de ponte preta x botafogo sp","10 mil+","1 de junho de 2026 às 22:10:00 UTC-3","2 de junho de 2026 às 09:20:00 UTC-3","classificações de ponte preta x botafogo sp,ponte preta x botafogo sp,ponte preta,botafogo sp,ponte preta x","./explore?q=classifica%C3%A7%C3%B5es%20de%20ponte%20preta%20x%20botafogo%20sp&geo=BR"
"catar x el salvador","2 mil+","6 de junho de 2026 às 17:00:00 UTC-3","6 de junho de 2026 às 19:40:00 UTC-3","catar x el salvador","./explore?q=catar%20x%20el%20salvador&geo=BR"
